EmployeeID,EmployeeName,Salary,Position,State,DateOfBirth,Gender,MaritalStatus,HiringDate,TerminationDate,EmploymentStatus,Department,RecruitmentSource,PerformanceScore,EngagementSurvey,EmployeeSatisfaction
1,John Smith,62506,Production Technician I,MA,07/10/83,"M ",Single,7/5/2011,NULL,Active,"Production       ",LinkedIn,Exceeds,4.6,5
2,Sarah Johnson,104437,Sr. DBA,MA,05/05/75,"M ",Married,3/30/2015,6/16/2016,Voluntarily Terminated,IT/IS,Indeed,Fully Meets,4.96,3
3,Michael Williams,64955,Production Technician II,MA,09/19/88,F,Married,7/5/2011,9/24/2012,Voluntarily Terminated,"Production       ",LinkedIn,Fully Meets,3.02,3
4,Emily Brown,64991,Production Technician I,MA,09/27/88,F,Married,1/7/2008,NULL,Active,"Production       ",Indeed,Fully Meets,4.84,5
5,David Jones,50825,Production Technician I,MA,09/08/89,F,Divorced,7/11/2011,9/6/2016,Voluntarily Terminated,"Production       ",Google Search,Fully Meets,5,4
6,Jessica Davis,57568,Production Technician I,MA,05/22/77,F,Single,1/9/2012,NULL,Active,"Production       ",LinkedIn,Exceeds,5,5
7,Christopher Miller,95660,Software Engineer,MA,05/24/79,F,Single,11/10/2014,NULL,Active,Engineering,LinkedIn,Fully Meets,3.04,3
8,Ashley Wilson,59365,Production Technician I,MA,02/18/83,"M ",Widowed,9/30/2013,NULL,Active,"Production       ",Employee Referral,Fully Meets,5,4
9,Matthew Anderson,47837,Production Technician I,MA,02/11/70,F,Single,7/6/2009,NULL,Active,"Production       ",Diversity Job Fair,Fully Meets,4.46,3
10,Samantha Taylor,50178,IT Support,MA,01/07/88,"M ",Divorced,1/5/2015,NULL,Active,IT/IS,Indeed,Fully Meets,5,5
11,Daniel Martinez,54670,Production Technician I,MA,01/12/74,F,Married,1/10/2011,1/12/2017,Voluntarily Terminated,"Production       ",Diversity Job Fair,Fully Meets,4.2,4
12,Lauren Thomas,47211,Production Technician I,MA,02/21/74,"M ",Married,4/2/2012,9/19/2016,Voluntarily Terminated,"Production       ",Diversity Job Fair,Fully Meets,4.2,3
13,Andrew Jackson,92328,Data Analyst,TX,07/04/88,"M ",Divorced,11/10/2014,NULL,Active,IT/IS,Diversity Job Fair,Exceeds,4.28,4
14,Elizabeth Thompson,58709,Production Technician I,MA,07/20/83,"M ",Single,2/20/2012,NULL,Active,"Production       ",Google Search,Fully Meets,4.6,4
15,Ryan Lee,52505,Production Technician I,MA,07/15/77,"M ",Divorced,9/24/2012,4/6/2017,Voluntarily Terminated,"Production       ",On-line Web application,Fully Meets,5,5
16,Olivia Davis,57834,Production Technician I,MA,10/18/81,"M ",Single,2/21/2011,8/4/2017,Terminated for Cause,"Production       ",Google Search,Fully Meets,5,4
17,James Taylor,70131,Production Technician II,MA,04/17/66,F,Married,7/21/2016,NULL,Active,"Production       ",Employee Referral,Exceeds,4.4,3
18,Amanda White,59026,Production Technician I,MA,10/27/70,F,Single,4/4/2011,NULL,Active,"Production       ",Google Search,Fully Meets,5,5
19,Joshua Anderson,110000,Database Administrator,MA,04/04/86,F,Single,7/7/2014,9/12/2015,Terminated for Cause,IT/IS,Google Search,Fully Meets,4.5,4
20,Stephanie Martinez,53250,Production Technician I,MA,04/06/79,"M ",Single,7/8/2013,NULL,Active,"Production       ",LinkedIn,Fully Meets,4.2,4
21,Robert Davis,51044,Production Technician I,MA,12/22/70,"M ",Single,4/2/2012,NULL,Active,"Production       ",Google Search,Fully Meets,5,3
22,Megan Thompson,64919,Production Technician I,MA,12/27/58,F,Divorced,8/19/2013,NULL,Active,"Production       ",Indeed,Fully Meets,4.2,3
23,William Johnson,62910,Production Technician I,MA,09/01/89,F,Married,7/7/2014,NULL,Active,"Production       ",Indeed,Exceeds,5,3
24,Emily Wilson,66441,Production Technician II,MA,09/21/90,F,Single,4/4/2011,NULL,Active,"Production       ",CareerBuilder,Needs Improvement,2,3
25,Benjamin Clark,57815,Production Technician II,MA,01/16/67,F,Single,1/10/2011,4/4/2014,Voluntarily Terminated,"Production       ",Google Search,Fully Meets,4.8,5
26,Nicole Lewis,103613,Enterprise Architect,CT,07/30/64,"M ",Single,2/17/2014,2/19/2016,Terminated for Cause,IT/IS,LinkedIn,Fully Meets,3.5,5
27,Joseph Miller,106367,Sr. Accountant,MA,04/04/87,F,Married,2/16/2015,NULL,Active,Admin Offices,Diversity Job Fair,Fully Meets,5,4
28,Kimberly Anderson,74312,Production Manager,MA,03/10/70,"M ",Single,9/30/2013,8/7/2014,Voluntarily Terminated,"Production       ",Indeed,Fully Meets,3.39,3
29,David Wilson,53492,Production Technician I,MA,08/24/90,F,Married,4/2/2012,6/15/2013,Voluntarily Terminated,"Production       ",Google Search,Fully Meets,3.35,4
30,Michelle Moore,63000,Accountant I,MA,11/24/87,F,Married,10/27/2008,NULL,Active,Admin Offices,Diversity Job Fair,Fully Meets,4.5,2
31,Daniel Harris,65288,Production Technician II,MA,07/28/83,"M ",Single,9/29/2014,NULL,Active,"Production       ",Google Search,Fully Meets,3.19,3
32,Tiffany Robinson,64375,Production Technician I,MA,10/30/69,F,Separated,11/11/2013,NULL,Active,"Production       ",Diversity Job Fair,Fully Meets,3.5,5
33,Christopher Wilson,74326,Area Sales Manager,VA,06/01/64,F,Married,8/15/2011,8/2/2014,Voluntarily Terminated,Sales,Google Search,Fully Meets,3.14,5
34,Rachel Martinez,63763,Production Technician II,MA,03/02/80,F,Single,3/5/2012,NULL,Active,"Production       ",Employee Referral,Fully Meets,4.51,4
